WARNING: This is a machine-readable file. Only change this if you know what you are doing!							
Category	Name	Type (accessories only)	Rotate (shoes only)	Team Colored	Primary Color	Secondary Color	New
hair	045fringe						
hair	044long_curly						
hair	040long_wavy						
hair	taylorhair49						
hair	041girlfull						
hair	043girfullside						
hair	034sidelongstraight						
hair	042messylong						
hair	046layered						
hair	nativeheadband						yes
hair	047rocker						
hair	052beehive						
hair	051updomessy						
hair	050updocasual						
hair	034mullet						
hair	021fro						
hair	055sidebuns						
hair	012part						
hair	sundarhair						
hair	016boy						
hair	002messy_part						
hair	015spiky						
hair	014spiky						
hair	060widowpeak						
hair	057spikes						
hair	058shaved						
hair	combovervs						
hair	cowlick						yes
hair	063marine-KR-JP						
hair	067baldshort						
hair	059very_short						
hair	061domeshort						
hair	unicornhorn						
hand	000000none	chooser					
hand	rubberduck	inrighthand					
hand	047purse	inlefthand					
hand	00009cavaquinho-BR-IT-PT-FR-ES-IN-MX-CO-VE-PE-CL-AR-UY	inlefthand					
hand	068rose	inlefthand					
hand	soccerball	inlefthand					yes
hand	taylor61	inlefthand					
hand	070phone	inrighthand					
hand	newphone	inrighthand					
hand	tablet	inlefthand					
hand	057coffee	inlefthand					
hand	047z5beer	inrighthand					
hand	063turkey	inlefthand					
hand	taylor63	inlefthand					
hand	043bracelet	onrighthand					
hand	045blackwatch	onlefthand					
hand	046goldwatch	onrighthand					
hand	smartwatch	onlefthand					
hand	watch	onrighthand					
hand	047z7champagne	inrighthand					
hand	047z8glassochampagne	inlefthand					
hand	bighand	onlefthand		yes			yes
hand	elbowbandspecial	sleeve		yes	181818	181818	yes
hand	pressurebandspecial	sleeve		yes	181818	181818	yes
hand	wristband	onbothhands		yes			yes
hand	pompom	onbothhands		yes			yes
hand	goteam	inrighthand		yes			yes
hand	047z9vodka	inlefthand					
hand	059glassowine	inrighthand					
hand	metalgoblet	inlefthand					
hand	001072furmittens	onbothhands					
hand	051mittens	onbothhands					
hand	052boxing	onbothhands					
hand	048clutch	inrighthand					
hand	beachbag	inlefthand					
hand	backpack	inlefthand					yes
hand	longchampwomansbag	inrighthand					
hand	totebag	inlefthand					
hand	skateboard	inlefthand					yes
hand	taylor71	inlefthand					
hand	069paddle	inlefthand					
hand	tennisracquet	inrighthand					yes
hand	golfclub01	inlefthand					yes
hand	capote	inlefthand					yes
hand	001079skipoles	onbothhands					
hand	xboxcontrollerv3	inlefthand					
hand	doll	inlefthand					yes
hand	taylor67	inlefthand					
hand	spraycan	inlefthand					
hand	taylor65	inlefthand					
hand	047z4sword	inrighthand					
hand	pencil	inlefthand					
hand	artistpaintbrush	inrighthand					
hand	056book	inrighthand					
hand	newspaper	inlefthand					
hand	skeletonkeyv2	inlefthand					
hand	violin	inlefthand					yes
hand	taylor77	inrighthand					
hand	ballons	inrighthand					yes
hand	001071gift	inrighthand					
hand	ring	inlefthand					
hand	trumpet	inlefthand					yes
hand	clarinet	inlefthand					yes
hand	tambourine	inlefthand					yes
hand	00002drums-BR-IT-PT-FR-ES-IN-MX-CO-VE-PE-CL-AR-UY	inlefthand					
hand	067mic	inrighthand					
hand	098horn	inlefthand					
hand	047z1cheese	inrighthand					
hand	047z2banana	inlefthand					
hand	cupcake	inrighthand					
hand	lollipopv2	inlefthand					
hand	047z3baguette	inlefthand					
hand	icecreamsandwichvs	inlefthand					yes
hand	icecreamcone	inlefthand					
hand	rollingpinv2	inlefthand					
hand	sciencebeakerv2	inlefthand					
hand	064lasergun	inlefthand					
hand	fan	inrighthand					yes
hand	053glove	onlefthand					
hand	089candle	inlefthand					
hand	072dreidel	inlefthand					
hand	001084candycane	inrighthand					
hand	mehndi	sleeve					yes
hand	iandroidnytattoo	arm					yes
hat	000000none	chooser					
hat	018tophat	head					
hat	bowv3	head					
hat	016redhat	head					
hat	005flower	hat					
hat	010headphones	head					
hat	headbandspecial	face		yes	DBDBDB	DBDBDB	yes
hat	dogonhead	head					yes
hat	catonhead	head					yes
hat	pandahat	head					yes
hat	catears	head					yes
hat	cowboyhat	head					
hat	032captain	head					
hat	022frenchberet	head					
hat	025bikehelmet	head					
hat	fedora	head					yes
hat	blackhijab	hat					
hat	pinkhijab	hat					
hat	headscarfnavy	hat					
hat	shemagh	head					yes
hat	keffiyeh	hat					
hat	turbanwhite	hat					
hat	turbantan	hat					
hat	turbanblack	hat					
hat	turbanred	hat					
hat	023combathelmet	head					
hat	020pirate	head					
hat	027africanhunter	head					
hat	019chef	head					
hat	taylor01	head					
hat	001073earmuffs	head					
hat	013redbeanie	hat					
hat	taylor05	hat					
hat	netshat	head					yes
hat	015beanie	hat					
hat	014russiansmall	hat					
hat	001089aviatorhat	head					
hat	012spyhat	head					
hat	yellowhatkid	head					yes
hat	001075eskimo	head					
hat	taylor14	head					
hat	graduationcap	head					
hat	firefighterhelmet	head					yes
hat	policehat	head					yes
hat	schoolhat	head					yes
hat	017androidhat	head					
hat	024texanhat	head					
hat	001083partyhat	head					
hat	crown	head					
hat	taylor31	head					
hat	headband	hat					
hat	032z1strawhat	head					
hat	leafcrown	hat					
hat	021noogle	head					
hat	goprohelmet	hat					
hat	astronauthelmet	hat					yes
hat	retrospacehelmet	hat					
hat	001077skihat	hat					
hat	wizardshat	head					yes
hat	026sleepingcap	head					
hat	torerohat	head					yes
hat	00008kufihat-BR-IT-PT-FR-ES-IN-MX-CO-VE-PE-CL-AR-UY	head					
hat	koreankingcrown	head					yes
hat	001086antlers	face					
hat	028santahat	head					
pants	0000none						
pants	030blue						
pants	001jeans						
pants	029black						
pants	pinkskirt						
pants	skirtoption02						
pants	023kneelenghtskirt						
pants	024miniskirt						
pants	006shortjeans						
pants	011girlsgen						
pants	008blueshorts						
pants	010basketball						
pants	012heartboxers						
pants	033darkblue						
pants	013army						
pants	034white						
pants	004suitpants						
pants	newblack						
pants	kawaiipants						yes
pants	014cargo						
pants	031red						
pants	001037skipants						
pants	police						yes
pants	firefighter						yes
pants	003rippedpants						
pants	gothpants						
pants	zebraleggings						yes
pants	stellapants						yes
pants	001035pajamaboy						
pants	018sportred						
pants	015sweatpants						
pants	005khakisuit						
pants	0003funsuitpants-BR-IT-PT-FR-ES-IN-MX-CO-VE-PE-CL-AR-UY						
pants	diaper						
pants	009whiteshorts						
pants	010z0boardshort						
pants	010z1castaway						
pants	taylor06						
pants	024z1grassskirt						
pants	025stripes						
pants	retrospacepants						yes
pants	astronautpants						yes
pants	021fishnetstockings						
pants	027santa						
pants	001038santaskirt						
pants	blazers	nba					
pants	bucks	nba					
pants	bulls	nba					
pants	cavaliers	nba					
pants	celtics	nba					
pants	clippers	nba					
pants	golden	nba					
pants	grizzlies	nba					
pants	hawks	nba					
pants	heat	nba					
pants	hornets	nba					
pants	jazz	nba					
pants	kings	nba					
pants	knicks	nba					
pants	lakers	nba					
pants	magic	nba					
pants	mavericks	nba					
pants	nets	nba					
pants	nuggets	nba					
pants	okc	nba					
pants	pacers	nba					
pants	pelicans	nba					
pants	pistons	nba					
pants	raptors	nba					
pants	rockets	nba					
pants	sixers	nba					
pants	spurs	nba					
pants	suns	nba					
pants	wizards	nba					
pants	wolves	nba					
shirt	0000none						
shirt	067whitetee						
shirt	075blacktee						
shirt	001redplaid						
shirt	016tanktopskirt						
shirt	catlove						yes
shirt	030z1openbuttondown						
shirt	027lbd						
shirt	053leatherjacket						
shirt	taylorshirt07						
shirt	057army						
shirt	police						yes
shirt	firefighterjacket						yes
shirt	003bluetshirt						
shirt	072redtee						
shirt	071greentee						
shirt	068tshirtdress						
shirt	kawaiishirt						yes
shirt	sailorgirl						yes
shirt	stelladress						
shirt	008tunic						
shirt	005z2french						
shirt	037sailor						
shirt	tanktop						
shirt	035z1musclechest						
shirt	062bathingsuit						
shirt	063bikini						
shirt	017cutedress						
shirt	018summerdress						
shirt	015summerdress						
shirt	014shirtdress						
shirt	019z3whitelittledress						
shirt	046football						
shirt	basketballjersey						
shirt	048karate						
shirt	torero						yes
shirt	emogirldress						yes
shirt	074skater						
shirt	005z1hawaiianshirt						
shirt	004shortsleeveshirt						
shirt	006white						
shirt	002blueplaid						
shirt	blueoxfordshirt						
shirt	005pink						
shirt	007black						
shirt	019minidress						
shirt	022receptionist						
shirt	013tunic						
shirt	019z2sexydress						
shirt	schooluniform						yes
shirt	024lavandadress						
shirt	gown						yes
shirt	025reddress						
shirt	026wrapdress						
shirt	taylorshirt06						
shirt	019z1dresswtie						
shirt	whitesuit						yes
shirt	030suit						
shirt	029suit						
shirt	028tux						
shirt	blacksuit						
shirt	036ladywinter						
shirt	038teeblazer						
shirt	023scarfdress						
shirt	greyhoody						
shirt	031violetsweater						
shirt	sundarshirt						
shirt	033grey						
shirt	032vneckblack						
shirt	035cardiganshirt						
shirt	tattoo						
shirt	043stripes						
shirt	041hoodysweatkan						
shirt	039blackstripes						
shirt	034punk						
shirt	044sportsred						
shirt	040collegeandroid						
shirt	001084woolsweater						
shirt	001088skicoat						
shirt	052coatunisex						
shirt	001087furcoat						
shirt	silverpufferjacket						
shirt	051spy						
shirt	rockbeatitjacket						
shirt	060night						
shirt	taylorshirt03						
shirt	001090holidaysweater						
shirt	063z1coconutbra						
shirt	063z2sarong						
shirt	035z2baxterhair						
shirt	taylorshirt04						
shirt	labcoat						
shirt	taylorshirt29						
shirt	069flagtee						
shirt	001085pajamaboy						
shirt	taylorshirt34						
shirt	cloak						
shirt	bluedot						
shirt	purpleshirt						
shirt	retrospacesuit						yes
shirt	astronautsuit						yes
shirt	pinktunic						
shirt	gujarati						yes
shirt	flamenco						yes
shirt	thwab						yes
shirt	koreanking						yes
shirt	082blackkimono						
shirt	020king						
shirt	059santa						
shirt	celtics	nba			006034	DBDBDB	
shirt	nets	nba			363636	DBDBDB	
shirt	knicks	nba			156093	E47B3B	
shirt	sixers	nba			00358A	F01B51	
shirt	raptors	nba			71921	CF1346	
shirt	bulls	nba			9E0029	DBDBDB	
shirt	cavaliers	nba			822A45	FFB732	
shirt	pistons	nba			003F69	F71C53	
shirt	pacers	nba			00295C	FAB941	
shirt	bucks	nba			0E4A21	D11538	
shirt	hawks	nba			172E4D	D80E3A	
shirt	hornets	nba			00A1BF	494275	
shirt	heat	nba			2E2E2E	B5273E	
shirt	magic	nba			272B2B	007EC4	
shirt	wizards	nba			C71735	E4EEF4	
shirt	mavericks	nba			0F2B38	EFEFEF	
shirt	rockets	nba			AF0B3E	BFBFBF	
shirt	grizzlies	nba			142333	7599C4	
shirt	pelicans	nba			0D2742	B2965D	
shirt	spurs	nba			192930	C5CED3	
shirt	nuggets	nba			467AAB	EDAE36	
shirt	wolves	nba			00496D	A7A9AC	
shirt	okc	nba			0C557D	ED513A	
shirt	blazers	nba			2E292A	DF3943	
shirt	jazz	nba			0F223D	FFA31F	
shirt	golden	nba			1B547A	FFC53B	
shirt	clippers	nba			C7353B	F2F2F2	
shirt	lakers	nba			542880	FAB839	
shirt	suns	nba			071921	F0713E	
shirt	kings	nba			46296E	EFEFEF	
shoes	0000none						
shoes	001blacksneakers		yes				
shoes	009whitesneakers		yes				
shoes	029maryjane		yes				
shoes	036patentleatherboots		yes				
shoes	whitesocks		yes				
shoes	046uggs		yes				
shoes	004greensneakers		yes				
shoes	005bnw		yes				
shoes	003hightop		yes				
shoes	002redsneakers		yes				
shoes	008canvas		yes				
shoes	basketballshoescolored		yes	yes			yes
shoes	basketshoesdark		yes	yes			yes
shoes	skateboard		yes				yes
shoes	014skater		yes				
shoes	pinksneaker		yes				
shoes	pinksneakers		yes				
shoes	013whitesneakers		yes				
shoes	016balletflatbow		yes				
shoes	taylorshoes14		yes				
shoes	018yellowflipflop		yes				
shoes	012tomshoes		yes				
shoes	flamencoshoes		yes				
shoes	032kittenheels		yes				
shoes	033heels		yes				
shoes	045galoshes		yes				
shoes	039brownboots		yes				
shoes	043furryboots		yes				
shoes	042workmanboots		yes				
shoes	041hikingboots		yes				
shoes	040texanboots		yes				
shoes	044snowboots		yes				
shoes	037bikerboots		yes				
shoes	platformboots		yes				
shoes	021clogs		yes				
shoes	027laceupdressshoebrown		yes				
shoes	026blackshoes		yes				
shoes	025dance		yes				
shoes	024girlshoes		yes				
shoes	022boatshoes		yes				
shoes	023brownmoccasins		yes				
shoes	blacksocks		yes				
shoes	brosockssandals		yes				
shoes	taylorshoes13		yes				
shoes	001053moonboot		yes				
shoes	010soccer		yes				
shoes	050gorillafeet		yes				
shoes	048rollerskates		yes				
shoes	wovenafircanshoes		yes				
shoes	001055snowbardboots		yes				
shoes	049scuba		yes				
shoes	taylorshoes57		yes				
shoes	koreankingshoes		yes				yes
shoes	astronautboots		yes				yes
shoes	armorboots		yes				
shoes	047santaboots		yes				
